term,E,P,A,E2,P2,A2
unwanted_child,-1.63,-1.91,-0.66,-1.63,-1.91,-0.66
unwed_father,-0.19,0.25,0.04,-0.19,0.25,0.04
unwed_mother,-0.02,0.15,0.4,-0.02,0.15,0.4
unwed_parent,-0.09,0.21,0.17,-0.09,0.21,0.17
usher,1.61,0.83,-0.29,1.61,0.83,-0.29
vagrant,-1.44,-1.6,-0.44,-1.44,-1.6,-0.44
vandal,-2.07,-0.19,0.61,-2.07,-0.19,0.61
veterinarian,2.8,2.01,-0.09,2.8,2.01,-0.09
victim,-0.3,-2.53,-1.26,-0.3,-2.53,-1.26
vigilante,-0.13,1.1,1.49,-0.13,1.1,1.49
villain,-3.12,1.62,1.29,-3.12,1.62,1.29
vip,1.02,2.27,1.28,1.02,2.27,1.28
virgin,1.53,1,-0.95,1.53,1,-0.95
visitor,1.17,-0.09,0.12,1.17,-0.09,0.12
voter,1.92,1.71,-0.01,1.92,1.71,-0.01
wage_earner,1.76,1.13,0.09,1.76,1.13,0.09
waiter,1.31,-0.16,1.27,1.31,-0.16,1.27
waitress,1.5,-0.21,1.3,1.5,-0.21,1.3
wallflower,0.24,-1.35,-2.14,0.24,-1.35,-2.14
ward_of_the_state,0.02,-0.47,-0.06,0.02,-0.47,-0.06
warden,-0.18,2.25,0.84,-0.18,2.25,0.84
watchman,1.5,1.4,-1.28,1.5,1.4,-1.28
weakling,-1.31,-2.77,-1.87,-1.31,-2.77,-1.87
web_developer,1.21,1.22,-0.96,1.21,1.22,-0.96
weirdo,-0.59,-0.78,-0.19,-0.59,-0.78,-0.19
welder,0.92,0.51,0.88,0.92,0.51,0.88
welfare_recipient,-0.41,-2.02,-0.74,-0.41,-2.02,-0.74
white_collar_worker,1.06,1.26,0.42,1.06,1.26,0.42
white_man,0.82,1.67,0.4,0.82,1.67,0.4
white_supremacist,-3.25,-0.28,1.32,-3.25,-0.28,1.32
white_woman,0.89,0.8,0.21,0.89,0.8,0.21
wholesaler,0.8,1.08,0.54,0.8,1.08,0.54
whore,-1.69,-1.47,1.31,-1.69,-1.47,1.31
widow,-0.1,-0.54,-1.27,-0.1,-0.54,-1.27
widower,-0.34,-1.02,-1.37,-0.34,-1.02,-1.37
wife,2.62,2.21,1.03,2.62,2.21,1.03
wife_abuser,-3.87,0.75,1.7,-3.87,0.75,1.7
windbag,-0.74,-0.42,0.99,-0.74,-0.42,0.99
winner,2.73,2.81,2.01,2.73,2.81,2.01
witness,1.46,1.73,0.03,1.46,1.73,0.03
woman,1.75,1.14,0.46,1.75,1.14,0.46
womanizer,-1.85,0.73,1.64,-1.85,0.73,1.64
worker,1.43,0.37,0.48,1.43,0.37,0.48
writer,1.55,2.03,-1.18,1.55,2.03,-1.18
youngster,1.1,-0.81,2.14,1.1,-0.81,2.14
