term,E,P,A,E2,P2,A2
displeased,-2.07,-0.32,-0.7,-2.07,-0.32,-0.7
disreputable,-2.13,-0.77,0.86,-2.13,-0.77,0.86
disrespectful,-3.06,-0.74,1.1,-3.06,-0.74,1.1
dissatisfied,-2.45,-0.79,-1.47,-2.45,-0.79,-1.47
distant,-1.36,-0.06,-2.06,-1.36,-0.06,-2.06
distressed,-2.43,-1.28,0.6,-2.43,-1.28,0.6
distrustful,-2.21,-0.48,-0.41,-2.21,-0.48,-0.41
disturbed,-2.4,-0.42,0.23,-2.4,-0.42,0.23
divorced,-1.69,-0.36,0.13,-1.69,-0.36,0.13
dogmatic,-0.11,0.31,0.71,-0.11,0.31,0.71
dominant,0.83,2.9,1.68,0.83,2.9,1.68
domineering,-1.36,2.29,1.45,-1.36,2.29,1.45
doubtful,-1.29,-0.86,-1.21,-1.29,-0.86,-1.21
downhearted,-2.07,-1,-1.8,-2.07,-1,-1.8
drowsy,-1.7,-1.22,-2.36,-1.7,-1.22,-2.36
drunken,-1.32,-1.59,1.76,-1.32,-1.59,1.76
dull,-2.02,-2.12,-2.57,-2.02,-2.12,-2.57
dumb,-2.18,-2.13,-1.41,-2.18,-2.13,-1.41
dutiful,2.11,1.38,-0.12,2.11,1.38,-0.12
eager,1.45,0.96,1.79,1.45,0.96,1.79
earnest,2.32,1.42,-0.34,2.32,1.42,-0.34
easygoing,1.96,0.91,-0.88,1.96,0.91,-0.88
eccentric,1.08,1.16,1.72,1.08,1.16,1.72
ecstatic,2.77,2.27,2.22,2.77,2.27,2.22
educated,3.43,3.34,0.4,3.43,3.34,0.4
effective,2.92,2.84,0.73,2.92,2.84,0.73
efficient,2.99,2.71,1.39,2.99,2.71,1.39
egoistic,-2.17,0.17,1.44,-2.17,0.17,1.44
egotistical,-1.89,0.16,1.4,-1.89,0.16,1.4
elated,2.92,2.11,1.47,2.92,2.11,1.47
elderly,0.58,-0.73,-2.06,0.58,-0.73,-2.06
elegant,2.18,1.78,-0.64,2.18,1.78,-0.64
embarrassed,-2.09,-1.35,-0.6,-2.09,-1.35,-0.6
embittered,-1.62,-1.07,-0.76,-1.62,-1.07,-0.76
emotional,0,0,0.31,0,0,0.31
empathetic,2.45,1.62,-0.98,2.45,1.62,-0.98
employed,3.19,2.24,0.75,3.19,2.24,0.75
empty,-3.19,-2.01,-2.63,-3.19,-2.01,-2.63
energetic,2.89,2.56,2.78,2.89,2.56,2.78
enraged,-2.58,1.34,2.7,-2.58,1.34,2.7
enterprising,1.46,1.85,1.05,1.46,1.85,1.05
enthralled,1.87,1.51,1.35,1.87,1.51,1.35
enthusiastic,2.85,2.35,2.31,2.85,2.35,2.31
entrusting,1.82,1.56,-0.45,1.82,1.56,-0.45
envious,-1.9,-0.77,-0.73,-1.9,-0.77,-0.73
erratic,-1.06,-0.52,1.95,-1.06,-0.52,1.95
esteemed,2.31,2.23,0.04,2.31,2.23,0.04
euphoric,3.02,2.22,1.33,3.02,2.22,1.33
evil,-3.42,1.12,0.62,-3.42,1.12,0.62
exasperated,-1.93,-1.33,-0.21,-1.93,-1.33,-0.21
excitable,1.62,1.24,2.32,1.62,1.24,2.32
excited,2.69,2.18,2.24,2.69,2.18,2.24
experienced,3.05,2.71,0.69,3.05,2.71,0.69
extravagant,0.37,1.52,2.21,0.37,1.52,2.21
extroverted,1.25,1.63,2.38,1.25,1.63,2.38
exuberant,2.35,2.11,1.7,2.35,2.11,1.7
