term,E,P,A,E2,P2,A2
rueful,-1.25,0.03,0.31,-1.25,0.03,0.31
ruthless,-1.89,1.6,1.35,-1.89,1.6,1.35
sad,-2.29,-1.44,-2.04,-2.29,-1.44,-2.04
sadistic,-2.36,1.16,0.1,-2.36,1.16,0.1
saintly,2.41,1.88,-1.02,2.41,1.88,-1.02
sarcastic,0.11,0.63,1.21,0.11,0.63,1.21
satisfied,3.05,2.39,0.17,3.05,2.39,0.17
scared,-2.02,-1.6,0.44,-2.02,-1.6,0.44
scheming,-1.57,1.05,0.11,-1.57,1.05,0.11
scornful,-2.08,0.05,0.64,-2.08,0.05,0.64
secretive,-0.45,0.86,-1.69,-0.45,0.86,-1.69
secure,3.13,2.83,-0.82,3.13,2.83,-0.82
self_assured,2.42,2.66,0.09,2.42,2.66,0.09
self_centered,-2.46,-0.49,0.72,-2.46,-0.49,0.72
self_confident,3.12,3.03,0.85,3.12,3.03,0.85
self_conscious,-1.76,-0.87,-1,-1.76,-0.87,-1
self_disciplined,2.77,3.06,-0.7,2.77,3.06,-0.7
self_pitying,-2.44,-1.8,-1.83,-2.44,-1.8,-1.83
self_righteous,-0.78,0.33,1.24,-0.78,0.33,1.24
self_sacrificing,2.04,2.1,-0.05,2.04,2.1,-0.05
self_satisfied,2.37,2.39,0.48,2.37,2.39,0.48
selfish,-2.79,-0.48,0.62,-2.79,-0.48,0.62
sensitive,0.91,0.31,-1.1,0.91,0.31,-1.1
sensuous,1.53,1.63,-1,1.53,1.63,-1
sentimental,1.78,0.76,-1.12,1.78,0.76,-1.12
serene,2.76,1.71,-2.05,2.76,1.71,-2.05
serious,1,1.62,-1.08,1,1.62,-1.08
sexy,1.86,2.28,0.74,1.86,2.28,0.74
shaken,-1.65,-0.71,0.42,-1.65,-0.71,0.42
shallow,-2.15,-1.4,0.12,-2.15,-1.4,0.12
shocked,-0.46,0.54,1.13,-0.46,0.54,1.13
shook_up,-1.87,-0.53,0.64,-1.87,-0.53,0.64
showy,-1.41,0.23,2.14,-1.41,0.23,2.14
shrewd,-0.57,0.59,-0.06,-0.57,0.59,-0.06
shy,-0.28,-1.3,-2.17,-0.28,-1.3,-2.17
sickened,-2.92,-1.22,-0.83,-2.92,-1.22,-0.83
silly,1.86,0.45,2.03,1.86,0.45,2.03
simpleminded,-1.05,-1.66,-1.46,-1.05,-1.66,-1.46
sincere,3.22,2.65,-0.71,3.22,2.65,-0.71
single,0.3,0.89,-0.16,0.3,0.89,-0.16
skeptical,0.65,0.73,-0.2,0.65,0.73,-0.2
slack,-1.7,-1.61,-1.72,-1.7,-1.61,-1.72
sloppy,-2.18,-1.24,0.86,-2.18,-1.24,0.86
slothful,-2.1,-1.93,-2.76,-2.1,-1.93,-2.76
sluggish,-1.68,-1.91,-2.72,-1.68,-1.91,-2.72
sly,-0.43,0.84,-1.04,-0.43,0.84,-1.04
smug,-1.21,-0.3,-0.27,-1.21,-0.3,-0.27
sniveling,-1.77,-1.26,0.21,-1.77,-1.26,0.21
snobbish,-2.84,-0.65,0.52,-2.84,-0.65,0.52
snooty,-2.34,-0.65,1.07,-2.34,-0.65,1.07
snowed,0.1,-0.31,-0.56,0.1,-0.31,-0.56
sociable,2.54,2.17,2.27,2.54,2.17,2.27
soft_spoken,0.22,-1.2,-2.35,0.22,-1.2,-2.35
softhearted,1.72,0.34,-1.15,1.72,0.34,-1.15
solemn,0.19,0.19,-1.98,0.19,0.19,-1.98
sophisticated,2.24,2.17,0.15,2.24,2.17,0.15
sorrowful,-1.92,-0.91,-2.11,-1.92,-0.91,-2.11
sorry,0,-0.34,-1.23,0,-0.34,-1.23
spacey,-0.53,-1.08,-1.77,-0.53,-1.08,-1.77
spirited,2.54,2.22,2.01,2.54,2.22,2.01
spiteful,-2.55,-0.22,0.31,-2.55,-0.22,0.31
spoiled,-1.78,0.07,1.24,-1.78,0.07,1.24
squeamish,-1.9,-1.01,-0.13,-1.9,-1.01,-0.13
stable,2.89,2.37,-0.63,2.89,2.37,-0.63
steadfast,1.86,2.04,-0.26,1.86,2.04,-0.26
stingy,-2.05,-0.23,-0.05,-2.05,-0.23,-0.05
stoned,-1.77,-0.62,-0.33,-1.77,-0.62,-0.33
straightforward,2.36,2.37,0.88,2.36,2.37,0.88
strange,0.44,0.38,0.28,0.44,0.38,0.28
strict,-0.1,1.46,0.61,-0.1,1.46,0.61
strong,2.55,2.87,0.64,2.55,2.87,0.64
strong_willed,2.07,2.86,1.2,2.07,2.86,1.2
stubborn,-1.27,0.05,0.43,-1.27,0.05,0.43
studious,3.01,2.24,-1.57,3.01,2.24,-1.57
stunned,-0.38,0.01,0.11,-0.38,0.01,0.11
stupid,-2.42,-2.18,-0.88,-2.42,-2.18,-0.88
subdued,-1.18,-0.91,-1.11,-1.18,-0.91,-1.11
submissive,-1.18,-1.73,-1.83,-1.18,-1.73,-1.83
successful,3.02,3.1,0.86,3.02,3.1,0.86
suicidal,-3.59,-1.36,-2.19,-3.59,-1.36,-2.19
superstitious,-0.85,-0.78,-0.2,-0.85,-0.78,-0.2
surprised,1.42,1.35,2.17,1.42,1.35,2.17
suspicious,-0.78,0.09,-0.82,-0.78,0.09,-0.82
sympathetic,2.62,2.01,-1.08,2.62,2.01,-1.08
taciturn,-0.25,-0.35,-1.02,-0.25,-0.35,-1.02
tactful,2.28,1.95,-0.73,2.28,1.95,-0.73
tactless,-1.72,-1.29,0.81,-1.72,-1.29,0.81
talented,3.25,2.87,1.45,3.25,2.87,1.45
talkative,0.55,0.85,2.67,0.55,0.85,2.67
team_spirited,2.56,1.9,2.42,2.56,1.9,2.42
temperamental,-1.49,-0.3,1.37,-1.49,-0.3,1.37
tense,-1.73,-0.16,-0.06,-1.73,-0.16,-0.06
terrified,-2.56,-0.6,0.97,-2.56,-0.6,0.97
thankful,3.37,2.42,-0.44,3.37,2.42,-0.44
thoughtful,3.02,2.66,-0.77,3.02,2.66,-0.77
thoughtless,-2.69,-1.14,-0.49,-2.69,-1.14,-0.49
thrilled,2.67,2.3,2.3,2.67,2.3,2.3
timid,-1.13,-2.11,-1.98,-1.13,-2.11,-1.98
tired,-1.55,-1.28,-2.3,-1.55,-1.28,-2.3
tolerant,2.41,1.75,-0.67,2.41,1.75,-0.67
tormented,-3.26,-0.62,-0.29,-3.26,-0.62,-0.29
tough,1.56,2.01,0.62,1.56,2.01,0.62
tranquil,2.08,1.19,-2.41,2.08,1.19,-2.41
troubled,-2.16,-0.86,-0.96,-2.16,-0.86,-0.96
trusting,2.28,1.67,-0.52,2.28,1.67,-0.52
ugly,-1.63,-1.19,-0.71,-1.63,-1.19,-0.71
unambitious,-2.61,-2.31,-2.58,-2.61,-2.31,-2.58
unattractive,-1.34,-1.21,-0.57,-1.34,-1.21,-0.57
uncertain,-1.19,-1.45,-0.87,-1.19,-1.45,-0.87
uncomfortable,-2.01,-1.11,-1.49,-2.01,-1.11,-1.49
unconventional,0.89,0.87,0.55,0.89,0.87,0.55
understanding,3.1,2.47,-0.94,3.1,2.47,-0.94
uneasy,-2.01,-1.16,-0.89,-2.01,-1.16,-0.89
uneducated,-2.66,-2.25,-1.26,-2.66,-2.25,-1.26
unemployed,-2.59,-2.24,-2,-2.59,-2.24,-2
unfair,-2.68,0.1,0.44,-2.68,0.1,0.44
unforgiving,-2.54,-0.36,-0.76,-2.54,-0.36,-0.76
unfriendly,-2.81,-0.16,-0.27,-2.81,-0.16,-0.27
ungrateful,-3,-0.96,0.02,-3,-0.96,0.02
unhappy,-2.72,-0.58,-1.73,-2.72,-0.58,-1.73
unhealthy,-2.73,-1.14,-1.34,-2.73,-1.14,-1.34
unhelpful,-1.94,-1.21,-1.12,-1.94,-1.21,-1.12
unimaginative,-2.09,-2.23,-1.99,-2.09,-2.23,-1.99
unique,2.72,2.38,0.71,2.72,2.38,0.71
unkind,-3.14,-0.83,0.47,-3.14,-0.83,0.47
unlucky,-2.19,-1.4,-0.34,-2.19,-1.4,-0.34
unmotivated,-2.95,-2.19,-2.36,-2.95,-2.19,-2.36
unpopular,-1.11,-1.41,-1.54,-1.11,-1.41,-1.54
unreasonable,-2.54,-0.56,0.84,-2.54,-0.56,0.84
unreliable,-2.93,-1.6,-0.92,-2.93,-1.6,-0.92
unsatisfied,-2.1,-1.1,-1.11,-2.1,-1.1,-1.11
unscrupulous,-1.25,-0.2,0.05,-1.25,-0.2,0.05
unselfish,3.15,2.36,-0.43,3.15,2.36,-0.43
unsophisticated,-1.49,-1.56,0.58,-1.49,-1.56,0.58
unsportsmanlike,-2.67,-1.42,1.59,-2.67,-1.42,1.59
unstable,-2.3,-1.68,0.19,-2.3,-1.68,0.19
unsuccessful,-2.39,-1.58,-1.06,-2.39,-1.58,-1.06
upset,-2.58,-0.54,-0.59,-2.58,-0.54,-0.59
uptight,-1.86,-0.6,0.02,-1.86,-0.6,0.02
vain,-2.12,-0.37,0.93,-2.12,-0.37,0.93
vengeful,-2.48,0.04,0.7,-2.48,0.04,0.7
vigorous,1.53,1.66,2.22,1.53,1.66,2.22
violent,-2.88,1.3,2.53,-2.88,1.3,2.53
virtuous,3.05,2.34,0.01,3.05,2.34,0.01
vivacious,1.48,1.38,2.06,1.48,1.38,2.06
vulgar,-1.99,-0.15,2.02,-1.99,-0.15,2.02
warm,2.5,1.54,-0.62,2.5,1.54,-0.62
warmhearted,3.26,2.45,-0.09,3.26,2.45,-0.09
weak,-2.17,-2.88,-2.09,-2.17,-2.88,-2.09
wealthy,2.17,2.74,0.92,2.17,2.74,0.92
white,0.78,1.79,0.62,0.78,1.79,0.62
wholesome,2.65,1.53,-0.44,2.65,1.53,-0.44
widowed,-2.65,-0.65,-1.44,-2.65,-0.65,-1.44
wild,-0.08,0.84,2.61,-0.08,0.84,2.61
wise,3.41,3.43,-0.93,3.41,3.43,-0.93
withdrawn,-1.16,-1.58,-1.93,-1.16,-1.58,-1.93
witty,1.97,1.67,1.77,1.97,1.67,1.77
worried,-2.35,-0.9,-0.18,-2.35,-0.9,-0.18
worthless,-3.43,-2.79,-2.56,-3.43,-2.79,-2.56
worthy,2.9,2.62,0.45,2.9,2.62,0.45
young,2.2,0.66,2.24,2.2,0.66,2.24
